id,emoji,description,ocurrences
8441,✍️,writing hand,1
8449,⤵️,right arrow curving down,1
8450,😢,crying face,1
8454,⚔️,crossed swords,1
8461,🧨,firecracker,1
8461,🤯,exploding head,2
8465,👀,eyes,1
8471,🚨,police car light,1
8475,👏,clapping hands,1
8475,🏆,trophy,1
8476,😂,face with tears of joy,1
8479,♟️,chess pawn,1
8479,🥳,partying face,4
8481,⚽,soccer ball,1
8481,🏅,sports medal,1
8481,🥅,goal net,1
8481,🐐,goat,1
8481,🏆,trophy,1
8482,🎉,party popper,3
8482,♟️,chess pawn,1
8482,💐,bouquet,3
8484,👏,clapping hands,1
8494,🍀,four leaf clover,1
8494,☕,hot beverage,1
8494,♟️,chess pawn,1
8495,📷,camera,1
8503,💯,hundred points,1
8518,😍,smiling face with heart-eyes,1
8519,💡,light bulb,1
8519,🇿🇲,flag: Zambia,1
8522,🇦🇷,flag: Argentina,1
8536,🏆,trophy,1
8547,📷,camera,1
8552,🏻,light skin tone,1
8552,🎨,artist palette,1
8571,🇵🇪,flag: Peru,1
8571,♟️,chess pawn,1
8571,🏆,trophy,1
8571,📷,camera,1
8573,🇵🇪,flag: Peru,1
8576,😉,winking face,1
8576,👑,crown,1
8577,♟️,chess pawn,1
8586,♟,chess pawn,1
8588,😭,loudly crying face,1
8589,💯,hundred points,1
8590,👉,backhand index pointing right,1
8590,📷,camera,1
8596,🤔,thinking face,1
8608,📷,camera,1
8621,🤩,star-struck,1
8624,🇳🇴,flag: Norway,1
8624,😰,anxious face with sweat,1
8624,🕚,eleven o’clock,1
8625,🤣,rolling on the floor laughing,1
8628,💪,flexed biceps,1
8628,🏆,trophy,1
8628,👑,crown,1
8629,🏆,trophy,1
8651,♥,heart suit,1
8651,♣,club suit,1
8651,♠,spade suit,1
8651,♦,diamond suit,1
8655,😂,face with tears of joy,2
8659,👍🏼,thumbs up: medium-light skin tone,1
8663,🐴,horse face,1
8666,😭,loudly crying face,1
8667,😊,smiling face with smiling eyes,1
8668,👁,eye,1
8669,🇰🇿,flag: Kazakhstan,1
8669,🇮🇳,flag: India,1
8685,👍🏼,thumbs up: medium-light skin tone,1
8685,🙏🏼,folded hands: medium-light skin tone,1
8685,🌺,hibiscus,1
8690,👏,clapping hands,1
8690,❤,red heart,1
8696,🇰🇿,flag: Kazakhstan,1
8699,🇦🇪,flag: United Arab Emirates,1
8701,🐸,frog,1
8704,➡️,right arrow,1
8704,✍️,writing hand,1
8710,➡️,right arrow,1
8710,✍️,writing hand,1
8722,👇,backhand index pointing down,2
8726,🤣,rolling on the floor laughing,3
8728,⤵️,right arrow curving down,2
8733,😂,face with tears of joy,1
8736,😁,beaming face with smiling eyes,1
8756,🧵,thread,1
8758,🇺🇸,flag: United States,1
8760,♟,chess pawn,1
8760,🎥,movie camera,1
8778,👉,backhand index pointing right,1
8778,📷,camera,1
8792,🤣,rolling on the floor laughing,3
8793,💚,green heart,2
8794,⬇️,down arrow,1
8794,🌞,sun with face,1
8794,🍾,bottle with popping cork,1
8796,♟️,chess pawn,1
8796,🇪🇬,flag: Egypt,1
8797,❤️,red heart,1
8801,😉,winking face,1
8801,🇺🇦,flag: Ukraine,1
8801,🔥,fire,1
8822,♥️,heart suit,1
8833,😂,face with tears of joy,1
8834,🇨🇴,flag: Colombia,1
8834,🇮🇳,flag: India,1
8836,♟️,chess pawn,1
8837,😎,smiling face with sunglasses,1
8838,😁,beaming face with smiling eyes,1
8863,💪,flexed biceps,1
8863,💙,blue heart,1
8863,💛,yellow heart,1
8868,🔥,fire,1
8876,🚨,police car light,1
8876,🌍,globe showing Europe-Africa,1
8882,👧,girl,1
8884,♥️,heart suit,1
8886,👸🏼,princess: medium-light skin tone,1
8896,😃,grinning face with big eyes,1
8898,📸,camera with flash,1
8898,✍️,writing hand,1
8899,🧵,thread,1
8907,🇮🇳,flag: India,1
8914,😓,downcast face with sweat,1
8934,‼️,double exclamation mark,1
8938,💯,hundred points,1
8940,♟️,chess pawn,1
8943,❤️,red heart,1
8943,🔔,bell,1
8943,💞,revolving hearts,1
8943,👉,backhand index pointing right,2
8944,❤️,red heart,1
8944,🔔,bell,1
8944,💞,revolving hearts,1
8944,👉,backhand index pointing right,2
8946,❤️,red heart,1
8946,🔔,bell,1
8946,💞,revolving hearts,1
8946,👉,backhand index pointing right,2
8948,♟️,chess pawn,1
8949,🤓,nerd face,1
8954,✨,sparkles,1
8954,♟️,chess pawn,1
8958,🤣,rolling on the floor laughing,1
8958,👖,jeans,2
