,0,1,2,3,4
1088367,15.423551,5.0944443,3.046464,-1.7195452,10.657646
1081062,14.908266,5.5069003,1.6901473,-1.5297658,10.590048
1081571,14.639764,7.168411,0.30980965,0.57913214,9.868344
1084750,14.7799225,3.8422866,-3.66716,2.7297707,12.498051
1083741,15.903053,5.3136315,-2.969573,1.693893,12.2821665
1086077,16.096382,4.4196815,-3.132467,2.4273858,11.771818
1089200,15.024547,5.1807685,1.9160064,-1.5937772,10.814101
1086500,14.367683,4.5703487,-3.438449,2.0795376,12.773592
1082824,13.784214,3.8172836,-3.8622656,2.3467317,13.198463
1087767,15.291841,4.220614,-2.2926106,1.6485546,11.757083
1082460,16.06589,5.248667,-2.9108446,1.8878297,12.186424
1086691,14.66206,6.8226647,0.8140331,0.6192421,9.617656
1086892,16.113596,5.0072017,-2.82397,2.0658696,11.839494
1083446,16.273027,5.4012237,-2.6427336,2.1208606,11.503268
1087145,16.086628,5.728651,0.9102296,-0.79865897,9.95555
1082484,2.92294,6.513508,3.1911583,3.387426,7.0815997
1081831,13.35595,7.5423656,1.4857453,0.20756164,9.531188
1083615,15.276898,4.8374486,-3.5206432,2.3955073,12.507862
1081195,15.810373,5.8833265,0.5429691,-0.71977055,10.608836
1082788,15.771585,5.766408,0.7697344,-0.97333974,10.502417
1082517,15.750544,5.8472257,-2.7868557,1.9454577,12.208871
1082696,15.72995,5.950398,0.095878705,-0.27906477,10.596829
1084580,14.63488,6.847345,0.7987082,0.65299064,9.595828
1087660,13.804785,3.5597954,-3.4006202,2.471291,13.349265
1084232,13.899359,3.8684332,-4.1574793,2.4830167,13.153343
1088177,15.729619,6.0299773,0.79372615,-0.5208538,11.741045
1087826,13.803727,3.6167338,-3.47948,2.5283558,13.381371
1082031,15.566193,6.036835,-2.4724166,2.1088548,11.648681
1084842,15.522884,4.4781733,-3.0749788,1.9532318,12.189533
1081482,15.807626,5.7687316,0.8412362,-0.9751274,10.602035
1084177,15.659362,5.353336,-3.0694222,1.8644413,12.40365
1089255,15.621117,6.1188293,0.45450753,-0.6320148,10.747673
1087235,14.629227,6.7891417,0.73978037,-0.18063606,9.021109
1087404,14.429599,6.8608484,0.71224684,-0.10636926,8.957638
1088537,15.818799,6.0102243,0.44836184,-0.594573,10.66722
1087995,15.859877,6.020635,0.5417547,-0.3836903,11.702128
1083476,16.211386,4.8465047,-2.8707492,2.2844477,11.482654
1084783,16.178371,4.911754,-2.8226662,2.2336357,11.441108
1089361,15.031005,5.554823,2.2566617,-1.7204236,10.762823
1086910,14.472607,3.9083319,-3.8725379,2.9405055,12.967435
1089201,15.588779,5.3110075,0.5941402,-1.0681981,10.621813
1084789,14.313588,3.6488128,-3.365256,2.5235047,13.101904
1082034,15.744675,4.4672666,-3.0311062,1.8396307,12.225434
1087913,15.910192,6.2216296,0.72271794,-0.3245357,12.041331
1084337,14.063133,3.7417727,-4.013084,2.4393425,12.988732
1085970,15.13111,5.495168,0.054782357,-0.23719183,10.061644
1082802,16.061605,5.6374087,-2.878248,2.003088,12.092078
1086096,15.958466,5.0644627,-2.5442808,1.8949186,11.897934
1083233,16.261011,4.9623823,-3.1314523,2.1781664,11.699849
1086868,14.735277,5.0824914,-0.24238631,0.081110835,9.391641
1089263,15.792895,5.5997877,0.5944441,-0.66408134,10.898055
1085428,14.821174,6.36478,0.18620944,-0.043302663,10.028516
1082322,14.199844,3.6997416,-3.9201603,2.7242692,12.788124
1081088,15.753293,5.6862493,0.5564016,-0.7011038,10.428668
1090046,15.427951,5.0433736,0.7193747,-1.1535584,10.192803
1082208,15.41167,6.2944217,0.41486835,-0.5027008,10.784568
1081472,15.554793,5.8809633,0.73562413,-0.9095468,10.574836
1089074,16.143305,5.678853,1.0240413,-1.0144957,10.479138
1082066,14.172758,3.715801,-3.8587546,2.7320604,12.839479
1088445,15.532032,6.2824163,0.33177736,-0.4353976,10.693902
1083734,15.565434,4.261205,-3.061191,2.666559,12.342527
1090085,13.895517,7.146141,1.3855563,-0.14852516,9.392986
1083883,16.045986,4.15613,-3.2906275,2.0988789,11.82727
1087797,16.41615,6.32655,1.3907912,-0.86866474,9.946895
1083747,14.971699,4.0544996,-2.0828316,1.352057,11.982915
1084159,16.054203,5.2482977,-2.4054418,1.3681673,12.158796
1083368,13.648985,4.944907,-3.340315,1.9185815,13.106314
1087570,15.745427,5.721185,-1.9633898,1.6622021,11.019443
1085905,13.325845,4.186422,-3.7238402,2.3004878,13.14093
1081934,16.20408,5.243903,-2.6923378,1.7755066,12.111297
1089692,13.333822,4.3795342,-3.6145797,2.3197513,13.0257845
1082769,14.713116,3.824156,-3.5360188,3.1124396,12.327313
1080877,14.453707,6.60822,1.1477603,-0.40348357,9.403391
1087657,14.845307,3.873764,-3.7602026,2.9091208,12.544297
1081355,16.6152,6.4518003,1.6949208,-1.0772781,10.025051
1082174,13.234556,4.5084953,-3.5382288,2.1138947,13.175803
1087046,14.095173,4.9775743,-3.1081975,1.8560525,12.817397
1082621,16.068552,5.512168,-2.6831527,1.9268306,11.957032
1085034,14.972996,3.9128025,-3.7334166,2.4835255,12.495846
1089856,16.254158,6.4319158,1.6006049,-0.9674102,9.902895
