topic,word,peso
20,rolex,0.10400130563557089
20,song,0.10388406531628433
20,#twingo,0.09588501307161923
21,shakira,0.6889781140364252
21,song,0.6030166060823149
21,head,0.30779926129198953
21,listen,0.14137971685236483
21,day,0.08198350444693345
21,mind,0.07979057004631876
21,singing,0.07081689679970246
21,stuck,0.06865700213287892
21,addicted,0.06333718718552782
21,loop,0.04626669446875261
22,gelato,0.8491001433902718
22,piqu,0.3485139162162175
22,rakuten,0.14199968268301474
22,amazon,0.1016506646066754
22,pajamas,0.09259907907940586
22,loungewear,0.08614123181960229
22,bag,0.07850713866509276
22,jacquard,0.07812809397591836
22,homme,0.07647691798968786
22,fashion,0.06476324228497236
23,rolex,0.5535534701168712
23,casio,0.5510246745138715
23,shakira,0.4456554059432392
23,watch,0.2399429001749764
23,piqu,0.14317350685158162
23,#rolex,0.10911280546313816
23,song,0.106123270647116
23,exchange,0.10521909147933445
23,#casio,0.10109759402115305
23,#shakira,0.09104989485105852
24,shakira,0.6193948702879641
24,tiktok,0.44902828277746204
24,song,0.3657449540568811
24,dance,0.2729142692263573
24,choreography,0.19969176742151037
24,video,0.15992281754400242
24,bizarrap,0.15311597602697233
24,session,0.12249278082157787
24,#shakira,0.10023331522124097
24,viral,0.08853531314257797
25,casio,0.7042692307673762
25,shakira,0.5798353528957536
25,song,0.18634861033078387
25,#casio,0.14324326512208035
25,brand,0.13120507546775312
25,twingo,0.11565022174573839
25,#shakira,0.09644202946014101
25,@shakira,0.0713921516782862
25,piqu,0.06186927325498682
25,@casioteam,0.058605016521917436
26,clara,0.6870435023173814
26,shakira,0.5663207103707707
26,chia,0.27496079001326973
26,cha,0.22781982012675117
26,song,0.17673543620956073
26,mart,0.051137702908534255
26,#shakira,0.04966124740163964
26,@shakira,0.04086052001400731
26,woman,0.0377174030898529
26,house,0.03646015632019113
27,children,0.6929581959353005
27,shakira,0.6022801126562881
27,song,0.1923669439820392
27,father,0.1173011900229311
27,mother,0.11367137598938681
27,people,0.06959372039063269
27,worry,0.06752688315682133
27,son,0.0630708722834729
