x,y,id
8.783338,7.1445036,1517880
-8.881519,29.623112,1526505
6.161417,7.671429,1497575
8.908389,8.380273,1456120
10.603147,16.505753,1471318
7.459876,6.752674,1497909
7.4719167,6.682281,1456663
11.48257,18.475903,1469523
5.8063316,4.3521457,1485336
23.703876,29.210234,1456882
7.358407,7.4959126,1459480
13.834422,7.1608386,1458482
4.7452273,6.792031,1474672
4.456085,12.71445,1511919
8.458868,6.53234,1480617
7.5679317,7.2120485,1484433
20.294538,-11.99338,1497057
4.4701786,12.702817,1462747
5.962696,7.4346695,1472682
6.5078917,9.732025,1522269
7.5441117,6.90139,1458568
6.149454,7.6435676,1489364
4.4831414,12.684573,1498958
17.64686,20.75353,1452654
9.859352,7.0615745,1470722
19.781761,9.618786,1458398
5.724978,7.997702,1504598
7.2551303,6.7611375,1490800
6.1405106,7.387341,1478842
6.4145403,7.4425364,1471517
8.252694,7.3920903,1504559
6.575832,9.580775,1483352
5.8168383,4.3672814,1499068
-21.184855,10.208126,1458181
8.04473,7.0073576,1477489
8.519658,6.7640924,1513988
9.881709,5.655457,1521780
10.5723915,8.388666,1481994
8.141495,7.632644,1527088
4.173056,25.961622,1471645
8.162549,11.818918,1458103
24.750505,3.479603,1478953
8.08424,7.177839,1471756
7.991331,6.9152374,1520116
7.967503,7.1102614,1520418
7.5110354,8.286008,1520634
8.901094,6.77946,1511005
20.28223,-11.98139,1484879
8.670577,7.00931,1511075
5.595498,8.045491,1504772
7.863056,6.622601,1464480
26.345055,37.836704,1473863
2.9022498,7.524104,1474024
24.523157,3.3032215,1473948
6.953626,7.9973006,1498247
5.3443413,5.0425262,1457658
20.272625,-11.99263,1484977
6.5544496,7.526397,1504457
7.8455024,6.299638,1471496
7.2279835,7.002102,1484093
7.4899893,8.277388,1520874
7.873588,7.3791614,1524116
13.687985,6.550488,1491237
20.280375,-11.983989,1494625
9.040617,7.671237,1457963
11.316602,11.835381,1496645
8.327232,6.099787,1523808
6.308782,7.966817,1504755
8.251163,6.589933,1492205
6.811934,7.120908,1497902
8.185411,5.947746,1471904
8.817448,1.3213786,1465936
7.497538,8.29204,1520815
13.99431,14.569374,1495445
8.314301,6.443389,1510672
8.830356,8.318954,1456757
8.100568,7.072075,1502164
8.160731,5.955389,1472289
7.5274353,6.9718623,1507385
12.094144,-15.09074,1458536
12.385764,8.069214,1456830
8.54105,7.726793,1459844
6.1711645,7.722334,1506004
6.613375,7.9319873,1504601
6.5493035,9.685845,1523351
7.0914574,7.3617783,1497576
7.063878,6.9432135,1484815
-2.03432,5.944362,1522263
19.807905,9.592358,1457859
10.036107,9.291287,1491752
7.7249637,8.551636,1502303
8.5258875,6.920471,1458327
8.105582,5.9756894,1527999
7.495916,7.5788484,1526232
6.540667,9.644343,1474277
8.496177,6.7441983,1510617
6.0241327,7.638609,1495788
26.307255,37.80284,1474341
19.783768,9.616739,1463996
12.440079,11.007094,1476897
8.133891,5.9991393,1458295
7.5886745,7.466487,1526128
7.227925,7.2954574,1460080
8.121248,8.059551,1497742
8.874713,7.56694,1511756
6.738749,7.3645043,1484290
13.7599745,17.216722,1516550
9.754557,8.084931,1491134
8.1134615,6.683927,1509915
7.2338204,7.4066844,1489342
6.5487595,9.697819,1474064
11.71315,9.837377,1465819
-1.9550989,5.8392053,1462627
5.9396553,7.824206,1462637
7.747649,5.8352246,1513038
14.9575,38.108986,1502181
