id,person
1355369,mario matous
1355406,ian nepomniachtchi
1355406,ian nepomniachtchi
1355413,ian
1355449,ding liren
1355489,ian nepomniachtchi
1355578,ding liren
1355656,ian
1355732,ding
1355745,ian
1355785,ding liren
1355809,ding liren
1355839,ding liren
1355866,ding liren
1355891,magnus
1355932,ding liren
1355992,ding liren
1356011,nepomniachtchi
1356113,nickiminaj
1356182,ian
1356213,ding
1356231,harry
1356299,nepo
1356299,carlsen
1356341,ding
1356348,ian nepomniachtchi
1356372,ding liren
1356378,ding liren
1356379,ding liren
1356383,ding liren
1356394,ding liren
1356437,ding liren
1356447,ding
1356457,ding liren
1356486,ding liren
1356546,magnus
1356546,xadrez
1356558,ding
1356577,ding liren
1356590,ding liren
1356600,harry
1356638,ian nepomniachtchi
1356638,white
1356681,daniil dubov
1356681,irina krush
1356688,ding
1356810,botvinik
1356827,ding
1356829,ding
1356849,ding
1356859,ding liren
1356864,ding
1356868,ding
1356882,ian nepomniachtchi
1356889,ding liren
1356911,korchnoi
1356911,zoltan almasi
1356911,emil sutovsky
1356912,ian nepomniachtchi
1356919,ding liren
1356924,vladimir kramnik
1356924,ian nepomniachtchi
1356967,ding
1357005,hikaru
1357005,ding liren
1357022,ding
1357023,hikaru
1357066,alexander grischuk
1357066,ding
1357066,white
1357173,ian nepomniachtchi
1357221,ian nepomniachtchi
1357233,ian nepomniachtchi
1357243,victor dolgalev
1357243,david llada
1357247,daniil dubov
1357247,irina krush
1357265,ding liren
1357277,daniil dubov
1357277,irina krush
1357285,ding liren
1357321,sämisch
1357321,nepo
1357451,ian
1357451,anish giri
1357469,harry
1357487,saemisch
1357487,ding
1357487,nepo
1357533,ding liren
1357533,aram hakobyan
1357543,ding liren
1357560,daniil dubov
1357560,irina krush
1357567,fabiano caruana
1357567,lilienthal
1357567,szabo
1357567,kotov-najdorf
1357614,morphy
1357614,ruy lopez
1357644,ding
1357726,caro-kan
1357802,horowitz
1357818,ian nepomniachtchi
1357818,white
1357901,ian nepomniachtchi
1360479,nepo
1360479,nepomnjaschtschi
1360650,daniil dubov
1360661,ding
1360661,nepo
1361286,ding
1361286,nepo
1361301,miguelito
1361301,pepe cuenca
1361346,miguel
1361357,ian nepomniachtchi
1361380,ian nepomniachtchi
1361385,ian nepomniachtchi
1361437,miguel
1361448,miguel
1361549,daniil dubov
1361726,ajedrez
1361778,ian nepomniachtchi
1361799,daniil dubov
1361809,ding liren
1361809,stev bonhage
1362043,daniil dubov
1362179,ding liren
1362179,anna shtourman
1362181,ian nepomniachtchi
1362256,ian nepomniachtchi
1362300,ding liren
1362300,stev bonhage
1362318,ian nepomniachtchi
1362350,ian nepomniachtchi
1362395,ding liren
1362411,ian nepomniachtchi
1362411,white
1362439,ian nepomniachtchi
1362537,ding
1362537,nepo
1362548,ian nepomniachtchi
1362565,ding liren
1362565,anna shtourman
1362601,dingliren
1362603,ding liren
1362614,ian nepomniachtchi
1362614,anna shtourman
1362671,ding liren
1362671,anna shtourman
1362688,nepomniachtchi
1362688,ding
1362743,timman
1362755,nepomniachtchi
1362755,ding liren
1362755,stev bonhage
1362755,anna shtourman
1362778,nepomniachtchi
1362835,ian nepomniachtchi
1362842,ding
1362842,nepo
1362845,ian nepomniachtchi
1362851,stev bonhage
1362870,kasparov
1362870,adams
1362891,daniil dubov
1362917,peter
1363049,greco
1363049,shirov
1363056,ding
1363111,daniil dubov
1363124,daniil dubov
1363179,king liren
1363179,pawn nepomniatchi
1363304,magnus carlsen
1363381,xi
1363420,nepomniachtchi
1363469,nepo
1363469,yeves behar
1363469,sayl
1363522,peter
1363555,barbier
1363555,saavedra
1363585,ding
1363585,nepo
1363695,ian
1363699,ding
1363699,ding
1363699,richard
1363728,nepomniachtchi
1363897,nepo
1363908,ian nepomniachtchi
1363917,nepo
1363917,ding
1363936,nepoding
1363949,ding liren
1364011,ian nepomniachtchi
1364011,ding
1364041,ian nepomniachtchi
1364041,ding
1364042,fabiano caruana
1364046,ding liren
1364158,ian nepomniachtchi
1364230,nepo
1364295,ian
1364286,ian nepomniachtchi
1364286,ding liren
1364325,ding liren
1364326,magnus
1364326,fabiano caruana
1364326,ding liren
1364328,ding liren
1364335,ian nepomniachtchi
1364335,white
1364364,vishy
1364385,ding liren
1364385,nepomniachtchi
1364469,ian
1364469,fabiano caruana
1364473,barbier
1364473,saavedra
1364556,ian nepomniachtchi
1364556,white
1364575,ding liren
1364596,malcolm barker
1364630,ian nepomniachtchi
1364630,white
1364635,ding liren
1364697,ding liren
1364703,daniil dubov
1364703,irina krush
1364726,ding liren
1364740,daniil dubov
1364740,irina krush
1364742,daniil dubov
1364742,irina krush
1364758,caro-kann
1364818,ian nepomniachtchi
1364818,white
1364860,ian nepomniachtchi
1364860,white
1364932,ian nepomniachtchi
1364932,white
1364937,ding
1364937,nepomniachtchi
1364952,ian nepomniachtchi
1364952,white
1365025,ding
1365025,nepomniachtchi
1365025,stev bonhage
1365030,ding liren
1365030,ding
1365030,sagar shah
1365174,nepo
1365174,magnus
1365174,nepo
1365920,kazakh
1366622,elon
1367279,ding
1367279,nepo
1367701,bolton
1367804,ding
1367804,nepomniachtchi
1367804,harikrishna pentala
1368209,magnus
1368209,putin
1368559,teimour
1368559,ding
1368895,peter
1369160,magnus
1369222,nepomniachtchi
1369222,liren
1369481,ian nepomniachtchi
1369820,ding
1369820,nepo
1369915,ding liren
1369915,ian nepomniachtchi
1369937,veselin topalov
1369937,vladimir kramnik
1369937,bobby fischer
1369941,veselin topalov
1369941,vladimir kramnik
1369941,bobby fischer
1369955,veselin topalov
1369955,vladimir kramnik
1369955,bobby fischer
1369975,veselin topalov
1369975,vladimir kramnik
1369975,bobby fischer
1369988,veselin topalov
1369988,vladimir kramnik
1369988,bobby fischer
1369989,veselin topalov
1369989,vladimir kramnik
1369989,bobby fischer
1370049,ian nepomniachtchi
1370049,ding liren
1370162,john nunn
1370456,ding
1370504,ding
1370504,nepo
1370599,miguelito
1370599,pepe cuenca
1370681,spassky
1370681,fischer
1370681,karpov
1370681,kasparov
1370681,nepoding
1371045,ding liren
1371045,ian nepomniachtchi
1371150,ding liren
1371150,ian nepomniachtchi
1372472,ding liren
1372472,ian nepomniachtchi
1372951,king
1372951,king
1373636,nepomnjaschtschi
1373904,ding liren
1374104,evangelia siskou
1374467,ajedrez
1374570,hendrik du toit
1374581,nepo
1374638,ding liren
1374638,ian nepomniachtchi
1374770,iannepomniachtchi
1374785,ding liren
1374785,ian nepomniachtchi
1375352,daniil dubov
1375354,nepo
1375358,atiqueahmed
1375567,ding liren
1375567,nepo
1375567,nepo
1375567,nepomnjaschtschi
1375681,ding liren
1375681,ian nepomniachtchi
1375708,ding
1375730,carlsen
1375804,ding
1375848,leko
1375848,kramnik
1375914,ding liren
1375914,ian nepomniachtchi
1375988,ding
1376060,ding liren
1376083,ding liren
1376083,ian nepomniachtchi
1376117,daniil dubov
1376174,ding liren
1376174,ian nepomniachtchi
1376186,ding liren
1376186,ian nepomniachtchi
1376214,ding liren
1376214,ian nepomniachtchi
1376248,ding liren
1376248,ian nepomniachtchi
1376293,evangelia siskou
1376302,ding liren
1376302,ian nepomniachtchi
1376323,fabi
1376348,ding liren
1376348,ian nepomniachtchi
1376387,evangelia siskou
1376485,tkachnko
1376505,dvorkovich
1376541,evangelia siskou
1376542,magnus carlsen
1376542,nepo
1376601,ding liren
1376601,ian nepomniachtchi
1376611,ding liren
1376611,ian nepomniachtchi
1376617,ding liren
1376617,ian nepomniachtchi
1376701,ding liren
1376701,stev bonhage
1376727,ian
1376727,stev bonhage
1376732,ding liren
1376732,ian nepomniachtchi
1376751,ding
1376751,nepo
1376941,boris gelfand
1376942,gelfand
1376945,nepo
1376964,stev bonhage
1376967,kateryna lagno
1376967,ian
1377015,nepomniachtchi
1377024,sina weibo
1377058,ian nepomniachtchi
1377093,ding liren
1377119,ding liren
1377119,ian nepomniachtchi
1377119,anna shtourman
1377151,ding liren
1377153,ding liren
1377194,carlsen
1377194,nepo petroff
1377218,ding liren
1377222,daniel
1377274,ding liren
1377292,groot
1377326,stev bonhage
1377347,ding
1377347,nepomniachtchi
1377354,ding liren
1377359,mo farah
1377359,elon musk
1377364,bolton
1377410,nepo
1377413,ding
1377446,daniil dubov
1377446,irina krush
1377451,ding liren
1377461,ding liren
1377461,ian nepomniachtchi
1377463,ding liren
1377463,ian nepomniachtchi
1377494,ding liren
1377500,zhu jiner
1377578,ding liren
1377598,ding liren
1377628,phil
1377628,robin
1377628,scandi heartthrob
1377774,nepo
1377774,ding
1377898,richard
1377905,ding
1377907,ding liren
1377907,richard rapport
1377908,ding liren
1378140,vladimir kramnik
1378381,ian nepomniachtchi
1378637,niemann
1379309,zakhodiakin
1380820,matous
1380838,zakhodiakin
1381073,nebojša baralić
1381362,ajedrez
1381402,nepo
1381857,ding
1382071,ian nepomniachtchi
1382168,zakhodiakin
1382246,ding liren
1382246,ian nepomniachtchi
1382252,zakhodiakin
1382339,nepo
1382519,ding
1382609,ian nepomniachtchi
1382664,nepo
1382664,ding liren
1382664,nepo
1382664,nepomniachtchi
1382664,nepomnjaschtschi
1382666,peter
1382820,tolonglaaaaaaa
1382863,ian nepomniachtchi
1382884,ian nepomniachtchi
1382940,zakhodiakin
1383197,caro-kann
1383197,schliemann
1383227,ian nepomniachtchi
1383273,magnus
1383284,ian nepomniachtchi
1383284,white
1383305,peones
1383305,rey blanco
1383305,ajedrez
1383311,miguel
1383360,ben johnson
1383366,ian nepomniachtchi
1383433,ian
1383433,nepomniachtchi
1383435,ian
1383435,nepomniachtchi
1383483,smyslov
1383508,ian nepomniachtchi
1383590,daniil dubov
1383623,daniil dubov
1383689,ian nepomniachtchi
1383709,ian nepomniachtchi
1383746,ian nepomniachtchi
1383830,ian nepomniachtchi
1383833,daniil dubov
1383833,irina krush
1383893,ding liren
1383910,ding liren
1383910,david llada
1383932,ding liren
1383955,ding
