id,topic,positive_score,neutral_score,negative_score
1400461,0,0.13821822,0.8491884,0.01259337
1402341,0,0.0944344,0.7276856,0.17788005
1402381,0,0.0128959445,0.1531084,0.8339956
1401387,0,0.19012824,0.78029656,0.029575156
1398338,0,0.9187493,0.07459807,0.006652637
1397375,0,0.76026356,0.23151691,0.008219499
1392552,0,0.012689635,0.176586,0.81072444
1400776,0,0.38119847,0.61597884,0.0028226587
1391705,0,0.15323465,0.84344345,0.0033218279
1402073,0,0.7402269,0.2556371,0.0041359975
1396479,0,0.021822488,0.27692863,0.7012489
1399177,0,0.1009663,0.8934206,0.0056132306
1401128,0,0.49248457,0.37779117,0.12972426
1397644,0,0.11023748,0.85829234,0.031470183
1399543,0,0.74025506,0.25078356,0.008961418
1402514,0,0.009114609,0.41063914,0.5802462
1396353,0,0.15881507,0.783384,0.057800807
1399059,0,0.052042134,0.29383138,0.65412647
1400470,0,0.012053142,0.13372742,0.8542195
1402724,0,0.21479693,0.7706593,0.014543771
1399018,0,0.06651311,0.68144596,0.25204092
1401812,0,0.36550432,0.55540824,0.07908753
1396066,0,0.29156485,0.6609742,0.04746092
1397503,0,0.33445945,0.637716,0.027824566
1402524,0,0.073603414,0.921089,0.0053076628
1391502,0,0.33268175,0.6586068,0.008711495
1402355,0,0.0730716,0.91713506,0.009793308
1402232,0,0.13245149,0.5116738,0.35587475
1398744,0,0.8976403,0.100032344,0.0023273411
1400197,0,0.14555797,0.65311635,0.20132571
1401626,0,0.01447972,0.36303747,0.62248284
1398580,0,0.051886346,0.24029042,0.7078233
1400199,0,0.039896462,0.46155784,0.49854565
1385018,0,0.15394422,0.8383643,0.0076914583
1398328,0,0.08859988,0.5465534,0.3648468
1395675,0,0.10797475,0.88195413,0.010071127
1402678,0,0.9518584,0.046314016,0.0018275776
1401263,0,0.96247435,0.03227169,0.005253995
1391993,0,0.008413106,0.15259582,0.8389911
1398395,0,0.023702474,0.50760746,0.4686901
1398467,0,0.016727706,0.10320298,0.8800693
1392031,0,0.9515823,0.04503806,0.0033796784
1400379,0,0.27030927,0.6919982,0.0376925
1396666,0,0.3597784,0.6369361,0.003285455
1391353,0,0.18518844,0.8105848,0.0042267204
1400653,0,0.9849917,0.011226821,0.0037815145
1399345,0,0.06084785,0.93354505,0.0056071193
1395568,0,0.12366467,0.5136158,0.36271957
1400748,0,0.9715224,0.02685131,0.0016263118
1402602,0,0.028638143,0.41022202,0.5611399
1402787,0,0.71489465,0.2677429,0.01736246
1402091,0,0.07012559,0.9117201,0.018154323
1393013,0,0.08923826,0.88108736,0.029674388
1391471,0,0.013197313,0.80427426,0.18252842
1399013,0,0.9336152,0.063164495,0.003220364
1402631,0,0.80557305,0.19182569,0.0026012857
1398459,0,0.17958249,0.81664187,0.0037756832
1397473,0,0.009328663,0.14987615,0.8407952
1401653,0,0.095398866,0.89145464,0.013146531
1401711,0,0.9385698,0.05792439,0.0035058479
1391859,0,0.8350349,0.1459886,0.018976472
1400841,0,0.72540563,0.231164,0.043430377
1394653,0,0.2584583,0.7360118,0.005529844
1394172,0,0.9796964,0.016792875,0.0035107385
