,0,1
1086487,20.525278,3.9388108
1080823,16.916636,6.939689
1089600,16.776754,8.569772
1080898,19.54941,3.9586735
1085456,20.604063,4.9503098
1089198,15.632032,8.999799
1088622,18.258316,3.805706
1084910,16.089296,7.540475
1086650,21.077822,3.59525
1083753,18.899752,0.92513674
1084674,20.827526,0.9724561
1083033,20.39883,2.76804
1081805,19.615795,0.8049201
1087711,19.97936,0.7881247
1083228,19.705254,0.8982573
1089581,16.292645,6.990325
1089995,13.227526,5.4342446
1088000,20.38327,0.5277962
1087956,16.002699,5.5752206
1083367,20.889181,1.818622
1083970,20.764502,3.7518597
1086880,20.17807,1.462002
1089744,15.489836,5.4125047
1087641,19.335428,0.47060683
1087518,14.913994,5.348434
1089181,16.815485,8.332408
1089277,16.367273,7.3833666
1085988,14.3942175,4.663387
1084833,21.605867,2.8897746
1084853,20.355387,1.7938211
1087029,14.30478,5.905544
1083539,16.173328,7.5097966
1089114,14.099423,5.5683527
1087365,15.3570595,5.7785077
1089421,16.754854,6.820023
1081157,14.162661,5.3262415
1084849,15.710819,5.355553
1087994,15.638909,7.846281
1087695,16.86073,6.08161
1087684,20.142752,5.060162
1087208,16.346766,6.4718103
1083210,19.66733,0.5331403
1086962,16.288002,4.7412252
1088927,20.506994,4.477966
1081392,14.297304,7.695129
1089312,15.944768,7.4906135
1087426,14.5331,4.712907
1089623,15.186051,5.198887
1085958,16.026999,8.801152
1082369,19.61096,4.017671
1081995,20.582338,3.9724376
1083987,21.428663,3.6521668
1085578,16.459078,8.656275
1082585,13.328483,5.4973097
1085312,16.344124,4.346109
1081275,13.217416,5.484693
1084508,21.45671,3.5131726
1085285,14.807391,4.6336436
1086087,19.663952,1.0695113
1087233,18.930622,1.7942114
1083186,19.621017,1.5665009
1087094,20.974632,4.1078053
1082349,15.757925,8.764798
1090075,16.033293,7.1916966
1082455,20.494013,3.866312
1088575,16.391237,7.2144217
1087226,15.523379,4.9906964
1087856,15.2561,7.7394547
1085013,20.946087,1.4240698
1085523,16.691357,6.8801556
1089590,16.787537,8.5616
1088892,16.781305,8.561739
1086701,15.680382,4.0294323
1086068,15.295738,5.7416744
1082029,17.03977,6.66594
1088747,16.679457,6.5393195
1089375,16.42912,7.833595
1081030,16.388752,6.6673994
1087858,16.940815,7.3962374
1088613,15.524844,9.355232
1089828,20.519592,0.592692
1085361,15.038563,4.6162176
1086567,16.407366,4.5740743
1085348,14.403937,6.3153453
1084927,20.384281,2.8844924
1089969,16.185808,7.4861937
1084361,15.23527,7.977667
1082524,21.214848,1.499336
1084276,21.32206,1.9753462
1081629,20.133265,4.3802075
1083724,19.599297,0.23115748
1085031,20.380888,3.2684104
1081456,19.76406,1.1800251
1083995,20.859816,1.5306691
1087626,20.892574,3.2749243
1083756,18.719471,1.6645776
1090067,15.009055,6.900043
1087970,21.078018,2.0153887
1082653,14.274214,5.4357977
1086659,18.862843,3.2128434
1084594,15.811405,5.6082554
1089442,16.052431,8.108324
1089810,15.49738,7.777422
1082807,18.455301,4.098896
1085896,20.27604,1.1724025
1083209,16.410313,6.078115
1089886,15.62172,6.141971
1083651,20.54251,2.6152914
1086140,15.294854,4.8643417
1084852,20.681965,2.6957269
1084255,14.819055,4.929491
1083794,15.676685,5.784542
1085496,14.037509,4.68004
1088393,16.714195,7.224894
1088627,17.101273,6.7544837
1089837,20.607004,5.108973
1084876,19.62389,0.7975493
1087237,14.219719,5.4171624
1085411,21.077326,3.750518
