topic,word,peso
8,#shakiraxbizarrap,0.06296901670770955
8,#shakirabzrp,0.05713082972818681
8,queen,0.05383008040232767
9,shakira,0.7345382022445232
9,song,0.6410507267313508
9,love,0.10029898651752292
9,good,0.09838523454595578
9,listen,0.0973820267081082
9,music,0.03839402064541738
9,catchy,0.03394844554536421
9,great,0.02847197036626457
9,lyrics,0.02823939124184528
9,time,0.027749681538602914
10,pike,0.9883269428786752
10,today,0.05136433962448847
10,play,0.0414423763876287
10,good,0.023580901373060615
10,day,0.02311395283101981
10,carnival,0.021252697502712754
10,hide,0.01897964848626268
10,start,0.018924553379321776
10,time,0.018911415952652572
10,morning,0.018905276815249
11,shakira,0.5067233644278724
11,spotify,0.3436569199882435
11,session,0.2240389996678959
11,music,0.20939872243494315
11,song,0.2077723245907883
11,bzrp,0.19595290729822848
11,monthly,0.18143346748249156
11,artist,0.17684090849223533
11,listen,0.17397441873652247
11,latin,0.16707355920427727
12,shakira,0.3443924353714281
12,fonasa,0.20043440222907727
12,#fiestadelosabrazos,0.1979750844103156
12,mackenna,0.1930564487727922
12,isapres,0.18217388718226415
12,#ladivinacomida,0.17830054186022212
12,#missuniverse2022,0.14906262593405903
12,olmue,0.14905136224003432
12,evelyn,0.14514320756799404
12,piqu,0.14203432894607068
13,shakira,0.7163372377903727
13,song,0.6571051898732754
13,listen,0.0983333187508908
13,bad,0.07533137284424968
13,sick,0.05284983605414884
13,good,0.05243650765993486
13,theme,0.04956757613658459
13,music,0.040070806887794616
13,horrible,0.03854127364987589
13,tired,0.03356359866271811
14,gelato,0.8235459447652494
14,piqu,0.34799081676308347
14,bag,0.17867863139322612
14,gelapique,0.15843375586535627
14,rakuten,0.12366738037869766
14,loungewear,0.1202604052673628
14,lucky,0.11243316038078933
14,pajamas,0.09239516924845229
14,amazon,0.07704237456957781
14,sale,0.06604575098389955
15,shakira,0.7682373788252556
15,session,0.540749238916239
15,play,0.19042431132837695
15,song,0.13541284361129027
15,listen,0.12191073020656407
15,sessio,0.11757189698591854
15,ibiza,0.06723895783359717
15,time,0.052346898131500896
15,good,0.04568456564203714
