text_id,labels,type,text
1080848,0,ORGANIZATION,Barsa
1080871,14,ORGANIZATION,Fiscalía
1080871,14,ORGANIZATION,Audiencia Nacional
1080871,14,ORGANIZATION,FCB
1080871,14,ORGANIZATION,Juzgado de Instrucción
1080871,14,ORGANIZATION,AN
1080871,14,PERSON,Negreira
1080871,14,PERSON,Soule
1080980,-1,PERSON,Rummenigge
1080980,-1,ORGANIZATION,Barcelona
1080980,-1,PERSON,Negreira’
1081081,-1,PERSON,negreira
1081081,-1,ORGANIZATION,madrid
1081018,0,PERSON,Minguella
1081018,0,PERSON,Romario
1081018,0,ORGANIZATION,TV3
1080896,28,ORGANIZATION,Barça
1080896,28,ORGANIZATION,cincodiascom
1080918,0,ORGANIZATION,Madrid
1080918,0,ORGANIZATION,Barsa Profe
1081085,-1,PERSON,Negreira
1081085,-1,ORGANIZATION,FCB
1080870,9,PERSON,Villar
1080870,9,PERSON,RojasRuin
1080870,9,PERSON,Ángel María Villar
1080870,9,PERSON,Negreira
1080919,-1,ORGANIZATION,Movistar id
1080919,-1,ORGANIZATION,YouTube
1080919,-1,PERSON,Maldini
1080919,-1,PERSON,Negreira
1081086,1,PERSON,Negreira
1081086,1,PERSON,Bartomeu
1080947,0,PERSON,Messi
1080947,0,PERSON,Barsa
1080986,-1,ORGANIZATION,FIFAS
1081007,0,PERSON,jpedrerol
1081007,0,PERSON,GUTY14HAZ
1081007,0,PERSON,messi
1081007,0,ORGANIZATION,madrid
1081083,-1,PERSON,Negreira
1081083,-1,ORGANIZATION,madridistas
1081083,-1,PERSON,Pablo Iglesias
1081083,-1,PERSON,Dios
1081088,-1,PERSON,E. Negreira
1081088,-1,PERSON,CTARFEF
1081074,13,PERSON,Roberto Rodríguez
1081074,13,ORGANIZATION,Goles
1081074,13,PERSON,Estrada Fernández
1081074,13,PERSON,Negreira
1081023,-1,PERSON,Negreira
1081039,-1,PERSON,Javier Enriquez Romero
1081039,-1,PERSON,Martínez
1081039,-1,ORGANIZATION,futbolgate_ES
1081058,-1,ORGANIZATION,Kings League
1081058,-1,PERSON,Negreira
1080956,-1,PERSON,Laporta
1080956,-1,PERSON,Negreira
1080956,-1,ORGANIZATION,FC Barcelona
1080903,28,ORGANIZATION,Barça
1080903,28,PERSON,Negreira
1080909,0,ORGANIZATION,Real Madrid
1080909,0,ORGANIZATION,Madrid
1080909,0,EVENT,Champions
1080909,0,ORGANIZATION,Negreira Liga
1080879,-1,PERSON,Enríquez Negreira
1080971,0,ORGANIZATION,city psg
1081049,14,EVENT,'Caso
1081049,14,ORGANIZATION,Negreira'
1081049,14,ORGANIZATION,RFEF
1081049,14,ORGANIZATION,CTA
1081020,39,PERSON,Cantalejo
1081020,39,PERSON,Negreira
1081020,39,ORGANIZATION,CTA
1081020,39,EVENT,VAR
1080997,0,ORGANIZATION,Barsa
