text_id,text,type
1080805,enríquez negreira,PERSON
1080881,barça,ORGANIZATION
1080881,madrid,ORGANIZATION
1080879,barça,ORGANIZATION
1080879,enríquez negreira,PERSON
1080835,barsa,LOCATION
1080843,var,OTHER
1080843,barcelona,ORGANIZATION
1080843,real madrid,ORGANIZATION
1080843,negreira,PERSON
1081018,barsa,LOCATION
1080853,negreira,PERSON
1080853,medina cantalejo,PERSON
1080853,negreira,PERSON
1080896,barça,ORGANIZATION
1080918,madrid,ORGANIZATION
1081085,negreira,PERSON
1080965,barsa,ORGANIZATION
1080915,fiscalía,ORGANIZATION
1080915,negreira,OTHER
1080919,negreira,PERSON
1080907,negreira,PERSON
1080947,barsa,PERSON
1081083,negreira,PERSON
1081088,ctarfef,PERSON
1081074,estrada fernández,PERSON
1081074,negreira,PERSON
1080815,negreira,PERSON
1081023,negreira,PERSON
1081090,negreira,PERSON
1081066,negreira boys,ORGANIZATION
1081058,negreira,PERSON
1080956,negreira,PERSON
1080956,fc barcelona,ORGANIZATION
1080903,barça,ORGANIZATION
1080903,negreira,PERSON
1081071,negreira,PERSON
1081040,cta,ORGANIZATION
1081040,negreira,PERSON
1081049,negreira',ORGANIZATION
1081049,rfef,ORGANIZATION
1081049,cta,ORGANIZATION
1081020,negreira,PERSON
1081020,cta,ORGANIZATION
1081020,var,EVENT
1080997,barsa,ORGANIZATION
1081067,negreira,PERSON
1080945,barsa,ORGANIZATION
1080975,realmadrid,ORGANIZATION
1081078,negreira,PERSON
1081078,barcelona,PERSON
1080863,barcelona,ORGANIZATION
1080863,negreira,PERSON
1080863,fc barcelona,ORGANIZATION
1081057,laporta,PERSON
1081057,negreira',ORGANIZATION
1080974,negreira,PERSON
1080960,barsa,LOCATION
1081050,negreira,PERSON
1080981,barsa,ORGANIZATION
1080822,negreira,EVENT
1080998,barsa,ORGANIZATION
1081032,negreira,PERSON
1081048,enríquez negreira,PERSON
1080898,enríquez negreira,PERSON
1080898,madrid,LOCATION
1081009,negreira,PERSON
1080940,pedri,PERSON
1080957,negreira,ORGANIZATION
1080957,federación,ORGANIZATION
1080957,uefa,ORGANIZATION
1080880,negreira,PERSON
1080880,medina cantalejo,PERSON
1080880,negreira,PERSON
1080880,cta,TITLE
1080834,negreira,PERSON
1081003,barsa,LOCATION
1081003,madrid,ORGANIZATION
1080964,barsa,ORGANIZATION
1080850,enríquez negreira,PERSON
1080996,negreira,PERSON
1081053,barça,ORGANIZATION
1081053,negreira,PERSON
1081035,negreira,PERSON
1080891,barsa,ORGANIZATION
1080891,uefa,ORGANIZATION
1080891,barça,ORGANIZATION
1080944,negreira,ORGANIZATION
1081069,negreira,PERSON
1080912,barsa,PERSON
1081059,negreira',PERSON
1081056,negreira,ORGANIZATION
1080906,negreira,PERSON
1080966,barsa,LOCATION
1081025,negreira,PERSON
1080868,laporta,PERSON
1081047,barsa,ORGANIZATION
1080928,negreira,EVENT
1081077,ctarfef,PERSON
1081077,negreira,PERSON
1081046,negreira,PERSON
1080989,barsa,ORGANIZATION
1080950,negreira,PERSON
1080886,barça,ORGANIZATION
1080895,rfef,PERSON
1080895,negreira,PERSON
1080911,cta,OTHER
1081038,negreira,PERSON
1081034,barsa,ORGANIZATION
1080961,barsa,ORGANIZATION
1080937,uefa,ORGANIZATION
1080937,uefa,ORGANIZATION
1081044,negreira',ORGANIZATION
1081044,estrada fernández,PERSON
1081044,cta,ORGANIZATION
1081002,xavi,PERSON
1081043,negreira,PERSON
