text_id,date,labels,positive_score,neutral_score,negative_score
1081022,2023-02-28,22,0.07,0.84,0.09
1081023,2023-02-28,-1,0.89,0.1,0.01
1081024,2023-02-28,-1,0.04,0.64,0.32
1081025,2023-02-28,0,0.02,0.23,0.75
1081026,2023-02-28,40,0.38,0.51,0.11
1081027,2023-02-28,117,0.04,0.76,0.2
1081028,2023-02-28,-1,0.03,0.91,0.06
1081029,2023-02-28,-1,0.18,0.73,0.09
1081030,2023-02-28,-1,0.01,0.09,0.9
1081031,2023-02-28,-1,0.03,0.96,0.01
1081032,2023-02-28,163,0.03,0.69,0.28
1081033,2023-02-28,-1,0.07,0.3,0.63
1081034,2023-02-28,168,0.19,0.34,0.47
1081035,2023-02-28,0,0.04,0.92,0.03
1081036,2023-02-28,-1,0.15,0.84,0.01
1081037,2023-02-28,-1,0.04,0.95,0.01
1081038,2023-02-28,-1,0.03,0.51,0.46
1081039,2023-02-28,-1,0.07,0.93,0.0
1081040,2023-02-28,-1,0.02,0.55,0.43
1081041,2023-02-28,170,0.03,0.91,0.05
1081042,2023-02-28,-1,0.02,0.89,0.08
1081043,2023-02-28,178,0.05,0.9,0.05
1081044,2023-02-28,-1,0.02,0.86,0.11
1081045,2023-02-28,-1,0.01,0.07,0.92
1081046,2023-02-28,0,0.05,0.91,0.04
1081047,2023-02-28,-1,0.18,0.75,0.07
1081048,2023-02-28,-1,0.37,0.48,0.15
1081049,2023-02-28,-1,0.03,0.95,0.03
1081050,2023-02-28,-1,0.01,0.09,0.9
1081051,2023-02-28,18,0.34,0.6,0.06
1081052,2023-02-28,138,0.09,0.48,0.43
1081053,2023-02-28,-1,0.02,0.79,0.19
1081054,2023-02-28,129,0.18,0.75,0.07
1081055,2023-02-28,-1,0.3,0.43,0.27
1081056,2023-02-28,166,0.01,0.57,0.42
1081057,2023-02-28,-1,0.04,0.95,0.01
1081058,2023-02-28,-1,0.01,0.07,0.92
1081059,2023-02-28,-1,0.07,0.73,0.2
1081061,2023-02-28,28,0.14,0.84,0.01
1081062,2023-02-28,-1,0.21,0.76,0.04
1081063,2023-02-28,-1,0.14,0.73,0.13
1081064,2023-02-28,170,0.11,0.46,0.42
1081065,2023-02-28,75,0.01,0.12,0.87
1081066,2023-02-28,-1,0.26,0.73,0.02
1081067,2023-02-28,-1,0.01,0.36,0.63
1081068,2023-02-28,100,0.01,0.14,0.86
1081069,2023-02-28,3,0.03,0.22,0.76
1081070,2023-02-28,73,0.02,0.37,0.61
1081071,2023-02-28,-1,0.08,0.32,0.6
1081072,2023-02-28,9,0.03,0.95,0.02
1081073,2023-02-28,-1,0.02,0.33,0.65
1081074,2023-02-28,11,0.02,0.44,0.55
1081075,2023-02-28,-1,0.01,0.18,0.81
1081076,2023-02-28,0,0.01,0.07,0.92
1081077,2023-02-28,-1,0.03,0.62,0.35
1081078,2023-02-28,-1,0.01,0.2,0.79
1081079,2023-02-28,134,0.98,0.02,0.01
1081080,2023-02-28,0,0.03,0.75,0.22
1081081,2023-02-28,-1,0.02,0.24,0.74
1081082,2023-02-28,58,0.05,0.31,0.64
1081186,2023-03-02,25,0.03,0.32,0.65
1081083,2023-02-28,-1,0.07,0.4,0.54
1081084,2023-02-28,139,0.01,0.19,0.79
1081085,2023-02-28,9,0.03,0.3,0.67
1081086,2023-02-28,0,0.03,0.96,0.01
1081087,2023-02-28,-1,0.08,0.9,0.02
1081088,2023-02-28,-1,0.01,0.2,0.79
1081089,2023-02-28,-1,0.61,0.35,0.04
1081090,2023-02-28,166,0.02,0.69,0.29
1081091,2023-03-02,67,0.02,0.9,0.08
1081092,2023-03-02,-1,0.93,0.05,0.02
